dataset,sample,assigned_cell_type,n_cells,PARK7_pct_detected,PARK7_mean_log2CPM,PARK7_median_log2CPM,PARK7_positive_mean_log2CPM,PARK7_detection_rank_within_sample
GSE148071,GSM4453610_P35,T cells,17,35.294117647058826,3.2696814546518764,0.0,9.264097454846985,5.0
GSE148071,GSM4453611_P36,B cells,19,0.0,0.0,0.0,0.0,6.0
GSE148071,GSM4453611_P36,Endothelial cells,1,0.0,0.0,0.0,0.0,6.0
GSE148071,GSM4453611_P36,Epithelial/tumor,185,33.513513513513516,2.723314338467344,0.0,8.126018590588043,3.0
GSE148071,GSM4453611_P36,Fibroblasts,9,55.55555555555556,5.208605632677706,8.308137704123018,9.37549013881987,1.0
GSE148071,GSM4453611_P36,Low-confidence/other,18,0.0,0.0,0.0,0.0,6.0
GSE148071,GSM4453611_P36,Mast cells,2,50.0,3.9764920495669367,3.9764920495669367,7.952984099133873,2.0
GSE148071,GSM4453611_P36,Myeloid cells,257,8.949416342412452,0.7928307800049881,0.0,8.859022193968778,5.0
GSE148071,GSM4453611_P36,Plasma cells,7,14.285714285714285,1.2385836768085527,0.0,8.67008573765987,4.0
GSE148071,GSM4453611_P36,T cells,2,0.0,0.0,0.0,0.0,6.0
GSE148071,GSM4453612_P37,B cells,92,7.608695652173914,0.6382983588209848,0.0,8.389064144504372,8.0
GSE148071,GSM4453612_P37,Endothelial cells,9,0.0,0.0,0.0,0.0,9.0
GSE148071,GSM4453612_P37,Epithelial/tumor,4,50.0,3.494090367607152,3.30612864314044,6.988180735214304,1.0
GSE148071,GSM4453612_P37,Fibroblasts,8,25.0,2.1701246506310006,0.0,8.680498602524002,5.0
GSE148071,GSM4453612_P37,Low-confidence/other,11,0.0,0.0,0.0,0.0,9.0
GSE148071,GSM4453612_P37,Mast cells,26,11.538461538461538,1.0518589444637723,0.0,9.116110852019359,7.0
GSE148071,GSM4453612_P37,Myeloid cells,2255,29.268292682926827,2.2851179265126063,0.0,7.807486248918072,3.0
GSE148071,GSM4453612_P37,NK cells,17,23.52941176470588,2.264404871787407,0.0,9.62372070509648,6.0
GSE148071,GSM4453612_P37,Plasma cells,43,30.23255813953488,2.3777411093029586,0.0,7.864835976925169,2.0
GSE148071,GSM4453612_P37,T cells,21,28.57142857142857,2.6060076954888807,0.0,9.121026934211082,4.0
GSE148071,GSM4453613_P38,B cells,56,17.857142857142858,1.5484523758597035,0.0,8.671333304814342,8.0
GSE148071,GSM4453613_P38,Endothelial cells,18,38.88888888888889,3.352692288469311,0.0,8.621208741778227,4.0
GSE148071,GSM4453613_P38,Epithelial/tumor,56,66.07142857142857,5.175720877907372,7.224631407217394,7.833523490886833,1.0
GSE148071,GSM4453613_P38,Fibroblasts,6,16.666666666666664,1.351400778799462,0.0,8.108404672796771,9.0
GSE148071,GSM4453613_P38,Low-confidence/other,5,0.0,0.0,0.0,0.0,10.0
GSE148071,GSM4453613_P38,Mast cells,35,22.857142857142858,2.0534346462361577,0.0,8.98377657728319,7.0
GSE148071,GSM4453613_P38,Myeloid cells,1009,39.64321110009911,3.284023256560212,0.0,8.283948664673135,3.0
GSE148071,GSM4453613_P38,NK cells,57,26.31578947368421,2.387020949759564,0.0,9.070679609086344,6.0
GSE148071,GSM4453613_P38,Plasma cells,35,57.14285714285714,4.837444887880996,6.770078194414529,8.465528553791744,2.0
GSE148071,GSM4453613_P38,T cells,81,27.160493827160494,2.582568656586969,0.0,9.508548235615661,5.0
GSE148071,GSM4453614_P39,B cells,96,29.166666666666668,2.464502325710889,0.0,8.44972225958019,8.0
GSE148071,GSM4453614_P39,Endothelial cells,11,36.36363636363637,2.876176829711433,0.0,7.909486281706441,3.0
GSE148071,GSM4453614_P39,Epithelial/tumor,69,40.57971014492754,3.0229896257799544,0.0,7.4495101492434594,2.0
GSE148071,GSM4453614_P39,Fibroblasts,4,0.0,0.0,0.0,0.0,9.0
GSE148071,GSM4453614_P39,Low-confidence/other,1,0.0,0.0,0.0,0.0,9.0
GSE148071,GSM4453614_P39,Mast cells,22,36.36363636363637,3.0701852165375993,0.0,8.443009345478398,3.0
GSE148071,GSM4453614_P39,Myeloid cells,835,45.1497005988024,3.6311623869017957,0.0,8.042494941811672,1.0
GSE148071,GSM4453614_P39,NK cells,14,35.714285714285715,2.972694520115208,0.0,8.323544656322582,6.0
GSE148071,GSM4453614_P39,Plasma cells,616,36.201298701298704,2.7954579375863275,0.0,7.721982464364027,5.0
GSE148071,GSM4453614_P39,T cells,228,32.89473684210527,2.894155714798123,0.0,8.79823337298629,7.0
GSE148071,GSM4453615_P40,B cells,147,17.687074829931973,1.6904308963718142,0.0,9.557436221794488,6.0
GSE148071,GSM4453615_P40,Endothelial cells,2,0.0,0.0,0.0,0.0,9.0
GSE148071,GSM4453615_P40,Epithelial/tumor,185,69.72972972972973,5.739648807789523,7.709957405146258,8.231279297992728,1.0
GSE148071,GSM4453615_P40,Fibroblasts,5,60.0,5.457405755373329,8.458423516810482,9.095676258955548,2.0
GSE148071,GSM4453615_P40,Low-confidence/other,15,0.0,0.0,0.0,0.0,9.0
GSE148071,GSM4453615_P40,Mast cells,69,26.08695652173913,2.3746920849835558,0.0,9.102986325770296,3.0
GSE148071,GSM4453615_P40,Myeloid cells,309,18.77022653721683,1.591731040324861,0.0,8.480084335523829,4.0
GSE148071,GSM4453615_P40,NK cells,95,12.631578947368421,1.2545329015082523,0.0,9.931718803606996,8.0
GSE148071,GSM4453615_P40,Plasma cells,64,14.0625,1.2027840639138523,0.0,8.553131121165173,7.0
