dataset,sample,cell_group,n_cells,PARK7_cutoff_log2CPM,UPR_ER_stress_score_high_mean,UPR_ER_stress_score_low_mean,UPR_ER_stress_score_delta_high_minus_low,UPR_ER_stress_score_mannwhitney_p,NRF2_redox_score_high_mean,NRF2_redox_score_low_mean,NRF2_redox_score_delta_high_minus_low,NRF2_redox_score_mannwhitney_p,Ribosome_translation_score_high_mean,Ribosome_translation_score_low_mean,Ribosome_translation_score_delta_high_minus_low,Ribosome_translation_score_mannwhitney_p,Apoptosis_DDR_score_high_mean,Apoptosis_DDR_score_low_mean,Apoptosis_DDR_score_delta_high_minus_low,Apoptosis_DDR_score_mannwhitney_p,UPR_ER_stress_score_mannwhitney_fdr,NRF2_redox_score_mannwhitney_fdr,Ribosome_translation_score_mannwhitney_fdr,Apoptosis_DDR_score_mannwhitney_fdr
GSE148071,GSM4453587_P12,Plasma cells,276,8.09568094140363,5.5350317773331374,5.477014239238393,0.0580175380947443,0.887738724188084,3.609845289495036,2.6054492452559446,1.0043960442390913,0.0005565008463553396,9.795600732019558,9.247693630502857,0.5479071015167012,0.5850241352535477,1.1930742825834657,1.0507404241782634,0.1423338584052023,0.3782256699208304,0.9699063929463468,0.0016189115530337152,0.9683158100748376,0.7261521618059471
GSE148071,GSM4453587_P12,B-lineage combined,421,8.09568094140363,4.46974899986563,4.694153015599443,-0.2244040157338123,0.28823557054035065,3.231874172558851,2.2915067317476687,0.9403674408111824,1.5113470268604358e-05,9.5583213193455,9.296937917114514,0.26138340223098666,0.8648831918910982,1.065174256899801,0.9263719729145018,0.13880228398529926,0.27672563378887716,0.7849039587552451,6.909014979933421e-05,1.0,0.6811707908649284
GSE148071,GSM4453588_P13,B cells,207,8.027340822266485,3.4422389989380826,2.902912107003707,0.5393268919343757,0.10437727304408727,2.835962184231773,1.612834455035426,1.2231277291963467,1.7249434650611477e-06,9.830615614740994,10.144412866062273,-0.31379725132127945,0.08989840508274348,1.2185902945811427,1.0100381729137977,0.20855212166734494,0.6247667066142639,0.7157298723023127,1.1039638176391346e-05,0.4315123443971687,0.8568229119281334
GSE148071,GSM4453588_P13,Plasma cells,173,8.027340822266485,6.4124727930198135,6.309039503674245,0.10343328934556872,0.5503115383300792,2.981406007664488,2.2394394388990295,0.7419665687654584,0.04547854845182579,8.816559303156746,8.596935133096048,0.21962417006069757,0.4253547204256559,1.4030172718031853,1.666900138583048,-0.2638828667798627,0.4971620466395833,0.80334599478127,0.06930064525992502,0.8470588235294119,0.7697992980225805
GSE148071,GSM4453588_P13,B-lineage combined,380,8.027340822266485,4.448285929191572,4.530998158242455,-0.08271222905088305,0.7390812114681697,2.8852254147493044,1.912343755498532,0.9728816592507723,4.642966861906577e-06,9.487144928559234,9.404737974833134,0.08240695372609963,0.8215053260295941,1.2810574965434474,1.324009930089037,-0.04295243354558953,0.6998611580807999,0.8836542102951311,2.62191069848842e-05,1.0,0.8840351470494314
GSE148071,GSM4453589_P14,B cells,13,8.608839174179561,4.133043748431803,4.382052406117851,-0.24900865768604774,0.9230769230769231,2.106075691217139,3.357527345868462,-1.2514516546513232,0.6153846153846154,6.412897287775623,5.973035678437227,0.43986160933839624,0.7692307692307693,0.0,1.414243272609366,-1.414243272609366,0.33593786131799563,0.9699063929463468,0.6421404682274248,1.0,0.7261521618059471
GSE148071,GSM4453589_P14,Plasma cells,216,8.608839174179561,6.235389046129782,6.2817781214409925,-0.04638907531121017,0.8842834337765321,4.422449902929369,2.691785086082461,1.7306648168469079,0.00017038586915074094,6.577556193447638,5.805695593692393,0.7718605997552448,0.13784672657719516,2.2523276048330767,1.8652509078626573,0.38707669697041935,0.17614318394759143,0.9699063929463468,0.0005841801228025403,0.47261734826466906,0.5931812970639164
GSE148071,GSM4453589_P14,B-lineage combined,229,8.608839174179561,6.157524405474301,6.168923128451498,-0.011398722977197018,0.9395968181667735,4.336658265458546,2.731334131218263,1.6053241342402829,0.0003396808179765227,6.571457715459786,5.815636588825749,0.7558211266340376,0.13642253642622698,2.1689080639133334,1.8384583750753334,0.33044968883799997,0.22482383870745482,0.9699063929463468,0.0010519147911531024,0.47261734826466906,0.6163771964791082
GSE148071,GSM4453590_P15,B cells,50,10.299718417520815,3.0048895228602013,3.068882237706394,-0.06399271484619273,0.871378102039382,2.147687816046275,1.3615325691791325,0.7861552468671424,0.12589978601522292,3.1835717192522694,3.5116918728767863,-0.32812015362451685,0.8969409753093467,1.050560170770462,0.7303624531530725,0.32019771761738947,0.7921579639593834,0.9699063929463468,0.15495358278796667,1.0,0.920922516601081
GSE148071,GSM4453590_P15,Plasma cells,111,10.299718417520815,3.2359563989638724,4.883669531997301,-1.6477131330334283,0.313114416426852,2.206790558110841,1.146430623420695,1.060359934690146,0.201086154664596,6.990423949618348,4.385242025683894,2.6051819239344542,0.1658530255471764,0.7881573395626625,1.1685989961672494,-0.38044165660458684,0.7556083566901455,0.7849039587552451,0.23541793716830753,0.4779080020444919,0.920922516601081
