TCGA_patient,CD79B,TP63,HMOX1,CD40,GSR,CD79A,NKG7,NFE2L2,PARK7,EPCAM,CAT,JCHAIN,TXN,SOD1,MS4A1,CD3D,MZB1,CD19,NQO1,KRT5,LST1,GPX1,B_lineage_marker_module,NRF2_redox_marker_module,Squamous_epithelial_module
TCGA-18-3417,1.8285097272987505,6.692964147187067,5.705778895538212,5.899840258089369,6.310285582218365,5.812772876002657,4.325055351278738,6.328913636586685,8.057664710914521,7.82352264783015,5.477003739982128,9.839334034269742,8.787722048018118,7.62793508394068,0.8186051837299659,4.485677988817941,5.868499107952471,0.9679801258199748,6.5384838442698365,12.484525842674731,4.033713713841312,9.114046818573083,4.433648759023276,6.986271206140888,9.000337545897315
TCGA-18-3419,2.5722105933123083,7.725837251187515,5.19503256501146,7.724684374370771,6.286992006364927,6.196006976599033,5.316218164925378,6.710492380933111,7.612827224198861,8.693321769914885,5.541778103566852,9.053527354936184,8.062140604836065,8.529943117640245,1.9362139010064088,5.109644723950879,7.261097302245752,2.7680148974294068,1.4909808036743912,12.113834838000098,3.711428827501353,9.871923405956188,5.358822199985695,6.461160373497905,9.510997953034165
TCGA-18-3421,0.9529299061698016,6.504388398557766,5.325015762528355,5.557587766122066,7.319440909975938,2.5401760953196604,6.1773098989669775,7.120335349940474,8.708778349436566,7.0756609791093386,6.50701442271417,7.852368455387147,8.958689003801254,8.479196197824509,0.7016821202952829,5.907078133774117,2.63243109122906,0.3012364407652316,5.326091470371521,11.083189429526463,4.612841964724471,10.072677013275788,2.9340588393268923,7.388557516304001,8.221079602397856
TCGA-18-4083,2.342810721492896,8.127531140234304,5.1500803232582735,5.643221264262875,6.045545629818917,6.041786168910725,4.848442670524269,8.209652697219948,7.0280419683154,7.3975377361901025,5.769195180657098,9.28900699241045,8.573730490313736,7.56666372395779,1.4779881081016517,4.364299274852493,6.4257076997827465,2.9044455612921607,5.39844272504847,12.025258870440243,2.696795087799139,8.067173495758759,4.874995216607644,6.847560533254124,9.183442582288217
TCGA-18-4086,3.067242885074143,8.60196944701953,8.668265236691399,4.957190284194014,9.039559283100813,6.876636040729237,5.09451056123034,7.739434996514096,7.84598988954151,8.099335185122433,6.613858697442546,10.323442355135557,11.093833608015292,7.90016098241946,2.9030961310531773,4.473579127789302,6.872855840586941,2.579518089309823,9.263318502371344,12.0201693581771,3.6874414737306016,8.925086767702856,5.368568803726127,8.655439759282226,9.573824663439687
TCGA-18-4721,2.905100543696123,7.944925777811655,6.842898400554493,4.756825822805778,7.900627747490591,7.302817107895473,6.267914025222144,8.162593745064658,7.522244895832044,8.301084133532672,6.051428659826895,11.05482162152435,10.517781669920014,7.921881986370006,3.050188223311478,5.816602266318022,6.927258853976057,2.7403879324683533,8.960324329693163,11.413232508706198,4.075087603210964,8.489042314406445,5.5339143008110865,8.105822356665783,9.219747473350175
TCGA-18-5592,1.4464679860973255,9.643419347720792,5.026392860951786,3.2998600607742685,8.050699216476207,4.440600116226164,5.436554981453429,8.111796601861684,6.989165126453224,8.188692191881811,7.186132071885159,6.443316558396398,11.126049368970587,8.910391792127815,0.7542033956763976,4.640383775379993,5.01341759363399,1.0229713991348162,8.326485216321643,13.579147271484548,2.480290976572629,8.382493043371428,3.202976729991337,8.140055021495789,10.470419603695717
TCGA-18-5595,0.5766672466367898,8.99295645822719,4.900219562778572,2.925999418556223,8.560625165310034,2.4128086179487034,3.730705160998762,7.861344396324132,8.06070079469635,8.92360530004104,7.527250223162706,7.118374262477713,11.411348808110557,8.906132380382212,0.1957255475120563,2.8423754882062875,2.7171006008831413,0.2375637183176756,9.865615592855702,14.214063894216956,2.126543418826141,9.028986507609986,2.3120342017617577,8.507690329566739,10.710208550828396
TCGA-21-1070,2.844707019610992,6.66831062769968,5.627455090379575,5.720292147784537,7.034230024223506,6.221413117400133,5.09647692544754,6.872864457178719,7.326249700837456,7.545313572953086,5.701587868355242,8.924506714844693,9.27786343311246,7.714123913959305,4.143083163449782,6.059299029412404,6.8667905504471625,3.177678651652009,6.811152451580954,12.072521000703937,4.300475201355117,8.957266911574566,5.414067337884187,7.249568018795541,8.762048400452233
TCGA-21-1071,1.1665226443281118,8.41916847920534,5.921541063313082,4.9162664351446175,9.364332765686196,4.336947446094452,4.6064363057260165,7.774186140918418,7.771647926157515,8.764001399825203,6.60009428314313,8.926021367285854,11.085820576073536,9.507398637407958,1.009275501574875,4.387334966125975,4.959607889253438,1.2677754782687938,10.02386729762546,11.26785733257461,3.583458910130769,8.463205964358522,3.7974881088500205,8.592555841065789,9.483675737201716
TCGA-21-1072,0.845590408847855,9.97104139719862,4.236040987977034,3.6361141496868026,9.979607825105054,3.6245922399164514,3.615333895551912,8.222796351598806,7.904600303631469,9.47899849140964,6.677943691164843,7.880933421261658,11.759288225162663,8.749746432820809,0.6747318093546646,3.026977066281044,3.663151032458266,0.5103543408136134,10.206778856062034,12.713160705610845,3.051006595884693,8.888801381641121,2.9764953431913304,8.590125468941546,10.721066864739702
TCGA-21-1075,0.5558161550616397,8.466217205266506,6.744615903467168,2.531518704975704,8.595939592758189,1.817254862810305,1.5720165131289408,8.569069884924568,7.886382481591276,8.319864015975348,7.221124998194215,7.34719702317425,10.812602268260443,8.928866534243797,0.2046415656104211,1.9395651105060463,2.7030785450261776,0.3460775345355971,9.334897610299466,11.078072464998035,2.3993625288014075,8.900680573609458,2.2150834844562994,8.638474670719663,9.28805122874663
