gene,avg_log2FC,mean_log2CPM_PARK7_high,mean_log2CPM_PARK7_low,pct_high,pct_low,max_pct,excluded_manual_redox_or_anchor,excluded_low_detection,eligible_for_CMap,PARK7_group_cutoff_log2CPM,n_B_lineage_cells,n_PARK7_high,n_PARK7_low,CMap_direction
OGT,-0.12046516735133528,0.7309536923705348,0.85141885972187,0.5146666666666694,0.493847874720363,0.5146666666666694,False,False,True,1.807956270505679,2538,750,1788,DOWN
AAK1,-0.11249653885048444,0.21307903999382038,0.3255755788443048,0.2159999999999997,0.23434004474273046,0.23434004474273046,False,False,True,1.807956270505679,2538,750,1788,DOWN
CLK1,-0.1111183466144553,0.6174086285661976,0.7285269751806529,0.4480000000000024,0.4317673378076104,0.4480000000000024,False,False,True,1.807956270505679,2538,750,1788,DOWN
TP53INP1,-0.11109524089750433,0.34629728263045595,0.4573925235279603,0.2893333333333334,0.3025727069351252,0.3025727069351252,False,False,True,1.807956270505679,2538,750,1788,DOWN
ZNF207,-0.09608636650003866,0.8027837902304796,0.8988701567305183,0.5626666666666681,0.5167785234899382,0.5626666666666681,False,False,True,1.807956270505679,2538,750,1788,DOWN
FTX,-0.09507282910314702,0.1376216770182794,0.23269450612142642,0.14400000000000013,0.17841163310962,0.17841163310962,False,False,True,1.807956270505679,2538,750,1788,DOWN
HELZ,-0.0938701472964929,0.36723077958455497,0.46110092688104787,0.34133333333333415,0.3243847874720383,0.34133333333333415,False,False,True,1.807956270505679,2538,750,1788,DOWN
S100A8,-0.0923328155709504,0.09447718971863676,0.18681000528958716,0.05333333333333331,0.07662192393736016,0.07662192393736016,False,False,True,1.807956270505679,2538,750,1788,DOWN
GPNMB,-0.0888781616122412,0.09558265113645946,0.18446081274870066,0.0613333333333333,0.08501118568232652,0.08501118568232652,False,False,True,1.807956270505679,2538,750,1788,DOWN
XBP1,-0.0871087351530766,1.087418714000528,1.1745274491536046,0.5480000000000018,0.4893736017897142,0.5480000000000018,False,False,True,1.807956270505679,2538,750,1788,DOWN
JSRP1,-0.08688967416015692,0.04189160129357103,0.12878127545372794,0.031999999999999994,0.07046979865771816,0.07046979865771816,False,False,True,1.807956270505679,2538,750,1788,DOWN
APOE,-0.08686432227765051,0.21841547518444926,0.30527979746209977,0.1586666666666667,0.15100671140939587,0.1586666666666667,False,False,True,1.807956270505679,2538,750,1788,DOWN
GOLGA8A,-0.08505899817002609,0.11440171979402562,0.1994607179640517,0.08400000000000006,0.10794183445190124,0.10794183445190124,False,False,True,1.807956270505679,2538,750,1788,DOWN
MSI2,-0.08206224138842327,0.2994212013157474,0.38148344270417067,0.2639999999999997,0.2611856823266235,0.2639999999999997,False,False,True,1.807956270505679,2538,750,1788,DOWN
SEL1L,-0.08184114143744625,0.27173110572079323,0.3535722471582395,0.25333333333333286,0.2544742729306502,0.2544742729306502,False,False,True,1.807956270505679,2538,750,1788,DOWN
EPM2AIP1,-0.07988281716041506,0.38568623524935164,0.4655690524097667,0.33600000000000074,0.3350111856823293,0.33600000000000074,False,False,True,1.807956270505679,2538,750,1788,DOWN
NDRG1,-0.07970552619004678,0.2542012945230927,0.3339068207131395,0.23466666666666625,0.23657718120805488,0.23657718120805488,False,False,True,1.807956270505679,2538,750,1788,DOWN
IGHG3,-0.07969576560110603,0.8481488031188246,0.9278445687199306,0.3053333333333336,0.25615212527964354,0.3053333333333336,False,False,True,1.807956270505679,2538,750,1788,DOWN
MGEA5,-0.07861801356553799,0.7244157737727416,0.8030337873382796,0.5200000000000026,0.47427293064877435,0.5200000000000026,False,False,True,1.807956270505679,2538,750,1788,DOWN
NABP1,-0.07809261276245466,0.3529341495577802,0.43102676232023485,0.23599999999999957,0.2164429530201351,0.23599999999999957,False,False,True,1.807956270505679,2538,750,1788,DOWN
PIM1,-0.07576229021119024,0.10273630642023568,0.17849859663142592,0.08400000000000006,0.11409395973154324,0.11409395973154324,False,False,True,1.807956270505679,2538,750,1788,DOWN
ANKRD36,-0.07557569703886777,0.13913785779102592,0.21471355482989368,0.12933333333333355,0.14597315436241592,0.14597315436241592,False,False,True,1.807956270505679,2538,750,1788,DOWN
GPRIN3,-0.0735101181944906,0.14911927002741673,0.22262938822190734,0.1373333333333335,0.14932885906040255,0.14932885906040255,False,False,True,1.807956270505679,2538,750,1788,DOWN
ANKRD36C,-0.07345960665011572,0.1791616897829678,0.2526212964330835,0.1373333333333335,0.14653243847874703,0.14653243847874703,False,False,True,1.807956270505679,2538,750,1788,DOWN
ITGA6,-0.07303783757599844,0.2035403300201056,0.27657816759610404,0.19199999999999984,0.20693512304250633,0.20693512304250633,False,False,True,1.807956270505679,2538,750,1788,DOWN
