row_id,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0071806,GO:0071806,protein transmembrane transport,6/189,78/18860,0.0769230769230769,7.67602767602768,5.94430321677109,0.000132060311563492,0.0069708978746729,0.00631837430513048,SEC61G/SEC61A1/HSPA5/TMED10/TOMM7/SEC61B,6
GO:2001242,GO:2001242,regulation of intrinsic apoptotic signaling pathway,9/189,195/18860,0.0461538461538462,4.60561660561661,5.09201057154558,0.00015857114974088,0.00817563346454725,0.0074103384297513,PARK7/XBP1/RPL26/RPS3/RPS7/P4HB/TPT1/CD74/MUC1,9
GO:0031396,GO:0031396,regulation of protein ubiquitination,9/189,200/18860,0.045,4.49047619047619,4.9928704883895,0.000191731107053857,0.0096606332804182,0.00875633213793811,PARK7/RPL11/RPS3/RPS2/RPL5/RPS7/HSPA5/RPL23/NPM1,9
GO:0030970,GO:0030970,"retrograde protein transport, ER to cytosol",4/189,30/18860,0.133333333333333,13.305114638448,6.78621436741378,0.00021833455422088,0.0105227762327759,0.00953777263175422,DERL3/HSP90B1/ERLEC1/SEC61B,4
GO:1903513,GO:1903513,endoplasmic reticulum to cytosol transport,4/189,30/18860,0.133333333333333,13.305114638448,6.78621436741378,0.00021833455422088,0.0105227762327759,0.00953777263175422,DERL3/HSP90B1/ERLEC1/SEC61B,4
GO:0006413,GO:0006413,translational initiation,8/189,162/18860,0.0493827160493827,4.92782023646221,5.05147229868612,0.000232786540163702,0.0109805906285729,0.00995273247866757,RPL13A/RPS3/RPS3A/RPS17/HSPA5/RPS5/NPM1/EIF3E,8
GO:0065002,GO:0065002,intracellular protein transmembrane transport,4/189,31/18860,0.129032258064516,12.8759173920464,6.65795461022971,0.000248727845557821,0.0114881173667019,0.0104127512537254,SEC61G/SEC61A1/HSPA5/SEC61B,4
GO:0006613,GO:0006613,cotranslational protein targeting to membrane,4/189,32/18860,0.125,12.473544973545,6.53547201776108,0.000282046943443044,0.0127611851757802,0.0115666512359349,SEC61A1/SSR3/SEC61B/SIL1,4
GO:1903321,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,6/189,91/18860,0.0659340659340659,6.57945229373801,5.36782242625406,0.000307811734554139,0.0136483723101305,0.0123707916055548,PARK7/RPL11/RPS3/RPL5/RPS7/RPL23,6
GO:0006465,GO:0006465,signal peptide processing,3/189,14/18860,0.214285714285714,21.3832199546485,7.67597688536289,0.000332365334535252,0.0144481166012677,0.0130956743782827,SEC11C/SPCS2/SPCS3,3
GO:0006612,GO:0006612,protein targeting to membrane,7/189,130/18860,0.0538461538461538,5.37321937321937,5.03396850062064,0.000340019018433799,0.0144965800743795,0.013139601339881,SEC61G/SEC61A1/HSPA5/SSR3/NACA/SEC61B/SIL1,7
GO:0035966,GO:0035966,response to topologically incorrect protein,8/189,172/18860,0.0465116279069767,4.64131905992371,4.82667423349463,0.000348966794741575,0.0145973468668315,0.0132309356735187,DERL3/SDF2L1/XBP1/MANF/DNAJB9/HSPA5/ERLEC1/AGR2,8
GO:0070972,GO:0070972,protein localization to endoplasmic reticulum,4/189,34/18860,0.117647058823529,11.7398070339247,6.30613628868798,0.000358103206415392,0.0147021260856097,0.0133259068430211,KDELR2/HSPA5/NACA/BTF3,4
GO:1901874,GO:1901874,negative regulation of post-translational protein modification,6/189,95/18860,0.0631578947368421,6.30242272347536,5.21276694908635,0.000388314354728705,0.0153730879363132,0.0139340620897951,PARK7/RPL11/RPS3/RPL5/RPS7/RPL23,6
GO:1905897,GO:1905897,regulation of response to endoplasmic reticulum stress,6/189,95/18860,0.0631578947368421,6.30242272347536,5.21276694908635,0.000388314354728705,0.0153730879363132,0.0139340620897951,PARK7/XBP1/MANF/DNAJB9/HSPA5/AGR2,6
