gene,distance,Z,FC,p.value,p.adj
HPS4,1.59858925417583e-09,0.0371594879145,0.00726716535387866,0.932064492772845,0.999950297526443
ATP13A1,1.5976494274257e-09,0.0367533335130985,0.00725862298603437,0.93210433617161,0.999950297526443
TXLNG,1.59420911917102e-09,0.0352646109223624,0.00722739584264462,0.932250187454147,0.999950297526443
MPLKIP,1.59277318081582e-09,0.0346423237988258,0.00721438196524606,0.93231106448933,0.999950297526443
TMEM14B,1.59188492775797e-09,0.0342571147351762,0.0072063376183596,0.932348722441094,0.999950297526443
RSBN1,1.59179039640699e-09,0.034216107113233,0.00720548177181936,0.932352730155949,0.999950297526443
CCDC91,1.59138018228057e-09,0.0340381294195968,0.00720176845685712,0.932370121456396,0.999950297526443
VMA21,1.58988304211715e-09,0.0333881975140062,0.00718822425774298,0.932433593982237,0.999950297526443
ADA,1.58969750503968e-09,0.0333076119757009,0.00718654664465289,0.932441460013782,0.999950297526443
RHOA,1.58949962863589e-09,0.0332216570459454,0.00718475767600061,0.932449849190784,0.999950297526443
LGALS9,1.58941123275369e-09,0.0331832557009813,0.00718395857504846,0.932453596829044,0.999950297526443
XPC,1.5884526097612e-09,0.032766674299124,0.00717529545384712,0.932494238775413,0.999950297526443
PDCD6,1.58680466219386e-09,0.0320499728861131,0.00716041508924752,0.932564105857067,0.999950297526443
POLR2C,1.58296740104448e-09,0.0303783484360469,0.00712582587841249,0.932726794015251,0.999950297526443
USP6NL,1.58124162933734e-09,0.0296252800901071,0.0071102970112875,0.932799962383681,0.999950297526443
TSN,1.58055467531439e-09,0.029325296593965,0.00710412036371265,0.932829087659959,0.999950297526443
VHL,1.57946040886875e-09,0.0288471861770773,0.00709428696833451,0.932875482235223,0.999950297526443
SLC30A9,1.57680472159939e-09,0.0276855284149651,0.00707045051301983,0.93298807868801,0.999950297526443
LRCH3,1.57538023100629e-09,0.0270616482182299,0.00705768134679069,0.93304847512749,0.999950297526443
RABGGTB,1.57471878936905e-09,0.0267717739446203,0.00705175609242347,0.933076519473095,0.999950297526443
NCK2,1.57373914893485e-09,0.0263422349915665,0.00704298495609289,0.933118055225158,0.999950297526443
NACA2,1.57249116407797e-09,0.02579466345056,0.00703181912406897,0.933170968769919,0.999950297526443
HERPUD2,1.5724330353717e-09,0.025769148445547,0.00703129925724513,0.933173433387072,0.999950297526443
PRELID3B,1.57090219309688e-09,0.0250968739836058,0.00701761527789104,0.933238340276831,0.999950297526443
IL13RA1,1.57014814425946e-09,0.024765499237472,0.00701087984312171,0.933270311705498,0.999950297526443
SEC23B,1.56849123003154e-09,0.0240368126369407,0.00699609105082751,0.933340564714984,0.999950297526443
SSSCA1,1.56781304693999e-09,0.0237383440594093,0.00699004242929008,0.933369319764903,0.999950297526443
GTF2I,1.56701176053602e-09,0.0233855375778077,0.00698289923747739,0.93340329452308,0.999950297526443
COMMD2,1.56678291554577e-09,0.0232847452466532,0.00698085983373734,0.933412997634243,0.999950297526443
RNF13,1.56629747884739e-09,0.0230708929484376,0.00697653474116074,0.933433580360292,0.999950297526443
YLPM1,1.56557339258933e-09,0.0227517884410777,0.00697008584451897,0.933464282013626,0.999950297526443
MCTS1,1.56514566657858e-09,0.0225632230597855,0.00696627780872536,0.933482417876902,0.999950297526443
ETFB,1.56317948720191e-09,0.0216957838201986,0.00694878633964782,0.933565785615507,0.999950297526443
C14orf119,1.5627824822537e-09,0.0215205057801644,0.00694525718350693,0.933582619063688,0.999950297526443
LINC01588,1.56272396979196e-09,0.0214946688542809,0.00694473711562533,0.933585100059187,0.999950297526443
DDX56,1.5608276116428e-09,0.0206568034400138,0.00692789253092868,0.933665508169214,0.999950297526443
TRUB2,1.56047757808259e-09,0.0205020415228859,0.0069247855600464,0.933680350132162,0.999950297526443
COPS2,1.5593567204748e-09,0.0200062469196766,0.00691484128253109,0.933727876378957,0.999950297526443
F8A1,1.55470803068411e-09,0.0179463024381559,0.00687367425890941,0.933924991160425,0.999950297526443
TTC17,1.55467779474641e-09,0.0179328847939661,0.00687340690328819,0.933926273244674,0.999950297526443
SYNGR1,1.55459962170217e-09,0.0178981931867914,0.00687271569687228,0.933929587990647,0.999950297526443
CABIN1,1.55354795999857e-09,0.0174313238976135,0.00686342027821737,0.933974181368517,0.999950297526443
ESYT2,1.55260916594858e-09,0.0170143035930109,0.00685512778714267,0.934013989019345,0.999950297526443
NEIL1,1.55108768646425e-09,0.0163379340717866,0.00684169900401964,0.934078504610356,0.999950297526443
EXOSC6,1.55095240296231e-09,0.0162777632695781,0.00684050561096371,0.934084241084013,0.999950297526443
PDPK1,1.55049742935178e-09,0.0160753650551973,0.00683649285978085,0.934103533514289,0.999950297526443
AMFR,1.55045651817688e-09,0.0160571626314325,0.00683613209134632,0.934105268289304,0.999950297526443
LNPEP,1.54754405378837e-09,0.0147601443561247,0.00681047346626851,0.934228767634962,0.999950297526443
ACBD6,1.54686228573152e-09,0.0144561909732741,0.00680447410168714,0.934257677370465,0.999950297526443
SETD3,1.54535607153326e-09,0.013784216774401,0.00679122921782029,0.934321547279242,0.999950297526443
