sample,cell_group,threshold_method,score,n_high,n_low,lower_cutoff,upper_cutoff,mean_high,mean_low,delta_high_minus_low,mannwhitney_p,mannwhitney_fdr
GSM4453579_P4,B cells,detected_vs_undetected,UPR_ER_stress_score,3,12,0.0,0.0,3.1591139937468515,3.821729270510739,-0.6626152767638875,0.5362637362637362,0.7783050761563824
GSM4453579_P4,B cells,detected_vs_undetected,NRF2_redox_score,3,12,0.0,0.0,2.8466140344873856,2.4703726640790635,0.37624137040832206,0.8395604395604395,0.8395604395604395
GSM4453579_P4,B cells,detected_vs_undetected,Ribosome_translation_score,3,12,0.0,0.0,4.6082140597477315,6.426540964658812,-1.8183269049110802,0.5362637362637362,0.7783050761563824
GSM4453579_P4,B cells,detected_vs_undetected,Apoptosis_DDR_score,3,12,0.0,0.0,0.4749159276255781,0.7385439476276128,-0.26362802000203467,0.5837288071172868,0.7783050761563824
GSM4453579_P4,Plasma cells,within_sample_positive_median,UPR_ER_stress_score,36,431,,8.519762869660887,5.112569758087828,5.217041751452178,-0.10447199336435009,0.7552397433268683,0.8556606733841321
GSM4453579_P4,Plasma cells,within_sample_positive_median,NRF2_redox_score,36,431,,8.519762869660887,2.096516942680135,1.2168736612189122,0.879643281461223,3.988316294014245e-06,1.595326517605698e-05
GSM4453579_P4,Plasma cells,within_sample_positive_median,Ribosome_translation_score,36,431,,8.519762869660887,6.029521050941422,5.9875886317718985,0.04193241916952317,0.8556606733841321,0.8556606733841321
GSM4453579_P4,Plasma cells,within_sample_positive_median,Apoptosis_DDR_score,36,431,,8.519762869660887,0.6490061801671353,0.8144798708785442,-0.16547369071140894,0.5603809094135206,0.8556606733841321
GSM4453579_P4,Plasma cells,within_sample_positive_quartiles,UPR_ER_stress_score,18,18,7.734753187943744,9.187385744233502,4.829520039740787,6.463850997966871,-1.6343309582260837,0.016907445097637797,0.016907445097637797
GSM4453579_P4,Plasma cells,within_sample_positive_quartiles,NRF2_redox_score,18,18,7.734753187943744,9.187385744233502,1.9594579851310872,3.7191814972167685,-1.7597235120856813,0.001474381320485359,0.0019658417606471454
GSM4453579_P4,Plasma cells,within_sample_positive_quartiles,Ribosome_translation_score,18,18,7.734753187943744,9.187385744233502,5.866365684897272,8.672135421290248,-2.8057697363929757,0.00017741790259331663,0.0007096716103732665
GSM4453579_P4,Plasma cells,within_sample_positive_quartiles,Apoptosis_DDR_score,18,18,7.734753187943744,9.187385744233502,0.34788776737900917,1.8519953751473182,-1.5041076077683089,0.0005373899091588778,0.0010747798183177557
GSM4453579_P4,Plasma cells,detected_vs_undetected,UPR_ER_stress_score,71,396,0.0,0.0,5.590487825741921,5.140588056917612,0.4498997688243085,0.053547731587658874,0.053547731587658874
GSM4453579_P4,Plasma cells,detected_vs_undetected,NRF2_redox_score,71,396,0.0,0.0,2.681914809328023,1.034169713281683,1.6477450960463402,7.185962668610762e-17,2.8743850674443047e-16
GSM4453579_P4,Plasma cells,detected_vs_undetected,Ribosome_translation_score,71,396,0.0,0.0,6.853041098953669,5.836231161873406,1.0168099370802635,0.0020483591248256455,0.004096718249651291
GSM4453579_P4,Plasma cells,detected_vs_undetected,Apoptosis_DDR_score,71,396,0.0,0.0,1.0651512521620992,0.7544932018463644,0.3106580503157348,0.04935315058114003,0.053547731587658874
GSM4453579_P4,B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,37,445,,8.550100357147151,4.92333313284064,5.181510726919813,-0.2581775940791724,0.4799865522324349,0.640358230472997
GSM4453579_P4,B-lineage combined,within_sample_positive_median,NRF2_redox_score,37,445,,8.550100357147151,2.163483343557845,1.25411817591597,0.909365167641875,5.468182721599231e-06,2.1872730886396923e-05
GSM4453579_P4,B-lineage combined,within_sample_positive_median,Ribosome_translation_score,37,445,,8.550100357147151,5.83710450342076,6.00603084327227,-0.1689263398515095,0.8125953042796522,0.8125953042796522
GSM4453579_P4,B-lineage combined,within_sample_positive_median,Apoptosis_DDR_score,37,445,,8.550100357147151,0.6314654725950506,0.8119732573102485,-0.1805077847151979,0.4802686728547477,0.640358230472997
GSM4453579_P4,B-lineage combined,within_sample_positive_quartiles,UPR_ER_stress_score,19,19,7.760633221663569,9.216105848179133,4.76067222762121,6.459880108112097,-1.6992078804908868,0.01538597833312297,0.01538597833312297
GSM4453579_P4,B-lineage combined,within_sample_positive_quartiles,NRF2_redox_score,19,19,7.760633221663569,9.216105848179133,2.201911235301207,3.7868205395013925,-1.5849093042001856,0.003506218345858004,0.0046749577944773385
GSM4453579_P4,B-lineage combined,within_sample_positive_quartiles,Ribosome_translation_score,19,19,7.760633221663569,9.216105848179133,5.647248608095015,8.756338017628087,-3.1090894095330723,6.34280927639105e-05,0.000253712371055642
GSM4453579_P4,B-lineage combined,within_sample_positive_quartiles,Apoptosis_DDR_score,19,19,7.760633221663569,9.216105848179133,0.32957788488537715,1.8312172233534252,-1.501639338468048,0.0002854994694015044,0.0005709989388030088
GSM4453579_P4,B-lineage combined,detected_vs_undetected,UPR_ER_stress_score,74,408,0.0,0.0,5.491918616336717,5.101798092611527,0.3901205237251899,0.08536366009451994,0.08536366009451994
GSM4453579_P4,B-lineage combined,detected_vs_undetected,NRF2_redox_score,74,408,0.0,0.0,2.688591804942592,1.0764109765404293,1.6121808284021626,2.3193763121886416e-16,9.277505248754567e-16
GSM4453579_P4,B-lineage combined,detected_vs_undetected,Ribosome_translation_score,74,408,0.0,0.0,6.762034597364239,5.853593214896505,0.9084413824677338,0.004514448400946143,0.009028896801892287
GSM4453579_P4,B-lineage combined,detected_vs_undetected,Apoptosis_DDR_score,74,408,0.0,0.0,1.0412227930592675,0.7540241061340482,0.2871986869252192,0.06675305989993766,0.08536366009451994
GSM4453580_P5,B cells,within_sample_positive_median,UPR_ER_stress_score,44,195,,8.566599480537093,3.565735131807046,3.9522624417835437,-0.38652730997649787,0.2200399372010038,0.25469358313040436
GSM4453580_P5,B cells,within_sample_positive_median,NRF2_redox_score,44,195,,8.566599480537093,3.6218330403312136,2.6926233931814876,0.929209647149726,0.0010277297494899423,0.004110918997959769
GSM4453580_P5,B cells,within_sample_positive_median,Ribosome_translation_score,44,195,,8.566599480537093,9.009004912082203,8.239846031847236,0.7691588802349667,0.03777696229642052,0.07555392459284103
GSM4453580_P5,B cells,within_sample_positive_median,Apoptosis_DDR_score,44,195,,8.566599480537093,0.9488949557127573,1.1801303541157309,-0.23123539840297358,0.25469358313040436,0.25469358313040436
GSM4453580_P5,B cells,within_sample_positive_quartiles,UPR_ER_stress_score,22,22,7.804147596322898,9.204822675431352,3.2314159550618395,5.431668186277893,-2.2002522312160533,0.00023916126339873568,0.0009566450535949427
GSM4453580_P5,B cells,within_sample_positive_quartiles,NRF2_redox_score,22,22,7.804147596322898,9.204822675431352,3.8578490756611497,4.756195354848605,-0.898346279187455,0.026543707627723956,0.026543707627723956
GSM4453580_P5,B cells,within_sample_positive_quartiles,Ribosome_translation_score,22,22,7.804147596322898,9.204822675431352,8.520578155107513,10.230352710206533,-1.7097745550990204,0.005815022136183173,0.007753362848244231
GSM4453580_P5,B cells,within_sample_positive_quartiles,Apoptosis_DDR_score,22,22,7.804147596322898,9.204822675431352,0.6110187502980122,2.1119120765935233,-1.500893326295511,0.0011687460267816641,0.0023374920535633283
GSM4453580_P5,B cells,detected_vs_undetected,UPR_ER_stress_score,87,152,0.0,0.0,4.292437317766537,3.645667600668502,0.6467697170980351,0.0063282557746977604,0.0063282557746977604
GSM4453580_P5,B cells,detected_vs_undetected,NRF2_redox_score,87,152,0.0,0.0,4.0809423466934485,2.1669752058067995,1.913967140886649,1.7760327002489681e-16,7.104130800995873e-16
GSM4453580_P5,B cells,detected_vs_undetected,Ribosome_translation_score,87,152,0.0,0.0,9.497113935637001,7.742876841719795,1.7542370939172063,8.882164514878515e-09,1.776432902975703e-08
GSM4453580_P5,B cells,detected_vs_undetected,Apoptosis_DDR_score,87,152,0.0,0.0,1.5146674337435657,0.9217153313699912,0.5929521023735745,0.003417216581080916,0.004556288774774555
GSM4453580_P5,Plasma cells,within_sample_positive_median,UPR_ER_stress_score,183,533,,7.654915183252654,5.558390028197117,5.284358946351682,0.27403108184543523,0.0527525331740088,0.0527525331740088
GSM4453580_P5,Plasma cells,within_sample_positive_median,NRF2_redox_score,183,533,,7.654915183252654,4.728766669469896,3.531626833513189,1.197139835956707,4.6554398942422965e-14,1.8621759576969186e-13
GSM4453580_P5,Plasma cells,within_sample_positive_median,Ribosome_translation_score,183,533,,7.654915183252654,9.872389951924562,9.285202971494403,0.5871869804301593,0.0008973264314910319,0.0017946528629820637
GSM4453580_P5,Plasma cells,within_sample_positive_median,Apoptosis_DDR_score,183,533,,7.654915183252654,2.1014777834882334,1.8125489537584152,0.28892882972981826,0.01380742445696687,0.018409899275955825
GSM4453580_P5,Plasma cells,within_sample_positive_quartiles,UPR_ER_stress_score,92,92,7.119241022973035,8.262746767927378,5.396383896396689,5.921231414153646,-0.5248475177569576,0.0126713146649135,0.025342629329827
GSM4453580_P5,Plasma cells,within_sample_positive_quartiles,NRF2_redox_score,92,92,7.119241022973035,8.262746767927378,4.442728567877986,5.066724277118903,-0.6239957092409165,0.02844249378697519,0.03792332504930025
GSM4453580_P5,Plasma cells,within_sample_positive_quartiles,Ribosome_translation_score,92,92,7.119241022973035,8.262746767927378,9.489903475879965,10.263056608794365,-0.7731531329144001,0.0006449771006567034,0.0025799084026268135
GSM4453580_P5,Plasma cells,within_sample_positive_quartiles,Apoptosis_DDR_score,92,92,7.119241022973035,8.262746767927378,2.0488111757582885,2.582748504629194,-0.5339373288709055,0.07918317687054785,0.07918317687054785
GSM4453580_P5,Plasma cells,detected_vs_undetected,UPR_ER_stress_score,366,350,0.0,0.0,5.683515499162157,5.010234345349055,0.673281153813102,1.012929198247425e-08,1.012929198247425e-08
GSM4453580_P5,Plasma cells,detected_vs_undetected,NRF2_redox_score,366,350,0.0,0.0,4.8746710111714435,2.75311946481935,2.1215515463520935,1.2130953976380652e-51,4.852381590552261e-51
GSM4453580_P5,Plasma cells,detected_vs_undetected,Ribosome_translation_score,366,350,0.0,0.0,10.030099112178073,8.81326934271868,1.2168297694593928,6.240693330424318e-16,1.2481386660848637e-15
GSM4453580_P5,Plasma cells,detected_vs_undetected,Apoptosis_DDR_score,366,350,0.0,0.0,2.3178690721379516,1.4351969895116907,0.8826720826262608,1.127052078854868e-13,1.502736105139824e-13
GSM4453580_P5,B-lineage combined,within_sample_positive_median,UPR_ER_stress_score,227,728,,7.796285579874241,5.028806624050449,4.972243285512868,0.056563338537580776,0.6097592391301776,0.6097592391301776
GSM4453580_P5,B-lineage combined,within_sample_positive_median,NRF2_redox_score,227,728,,7.796285579874241,4.448801035281459,3.327288163752188,1.121512871529271,9.071809806872837e-15,3.628723922749135e-14
GSM4453580_P5,B-lineage combined,within_sample_positive_median,Ribosome_translation_score,227,728,,7.796285579874241,9.671363963024904,9.015696590307536,0.6556673727173674,8.370535514542275e-05,0.0001674107102908455
GSM4453580_P5,B-lineage combined,within_sample_positive_median,Apoptosis_DDR_score,227,728,,7.796285579874241,1.8814346790210632,1.6421018567276502,0.23933282229341302,0.016364166166683916,0.02181888822224522
GSM4453580_P5,B-lineage combined,within_sample_positive_quartiles,UPR_ER_stress_score,114,114,7.225067542021575,8.482016955493336,4.714574346960405,5.92773472291055,-1.213160375950145,2.1059594532388915e-07,8.423837812955566e-07
GSM4453580_P5,B-lineage combined,within_sample_positive_quartiles,NRF2_redox_score,114,114,7.225067542021575,8.482016955493336,4.043405849440174,5.063878105358171,-1.0204722559179968,2.6562411429644237e-06,5.312482285928847e-06
GSM4453580_P5,B-lineage combined,within_sample_positive_quartiles,Ribosome_translation_score,114,114,7.225067542021575,8.482016955493336,9.237446068546102,10.25558142575003,-1.0181353572039278,4.966361989804687e-05,6.62181598640625e-05
GSM4453580_P5,B-lineage combined,within_sample_positive_quartiles,Apoptosis_DDR_score,114,114,7.225067542021575,8.482016955493336,1.5947070377313706,2.5123064339691874,-0.9175993962378168,8.003608411217655e-05,8.003608411217655e-05
GSM4453580_P5,B-lineage combined,detected_vs_undetected,UPR_ER_stress_score,453,502,0.0,0.0,5.416354788827898,4.5970587573182895,0.8192960315096087,5.5251275744490416e-14,5.5251275744490416e-14
GSM4453580_P5,B-lineage combined,detected_vs_undetected,NRF2_redox_score,453,502,0.0,0.0,4.722233055741895,2.5756415218514066,2.146591533890488,2.6239403724865634e-69,1.0495761489946254e-68
GSM4453580_P5,B-lineage combined,detected_vs_undetected,Ribosome_translation_score,453,502,0.0,0.0,9.927737720656939,8.489166434049697,1.4385712866072424,3.9965757408264736e-26,7.993151481652947e-26
GSM4453580_P5,B-lineage combined,detected_vs_undetected,Apoptosis_DDR_score,453,502,0.0,0.0,2.1636118038370427,1.2797204715086263,0.8838913323284163,4.862945001092204e-18,6.483926668122939e-18
GSM4453581_P6,B cells,within_sample_positive_median,UPR_ER_stress_score,10,87,,8.896708566246401,3.6852468980251936,3.1172839352187762,0.5679629628064173,0.33921651125349994,0.45228868167133324
